ID,Genotype,Time
Col.0.1,A,1
Col.0.2,A,1
Col.0.3,A,1
Col.10m.1,A,2
Col.10m.2,A,2
Col.10m.3,A,2
Col.1hr.1,A,4
Col.1hr.2,A,4
Col.1hr.3,A,4
Col.24hr.1,A,6
Col.24hr.2,A,6
Col.24hr.3,A,6
Col.30m.1,A,3
Col.30m.2,A,3
Col.30m.3,A,3
Col.48hr.1,A,7
Col.48hr.2,A,7
Col.48hr.3,A,7
Col.6hr.1,A,5
Col.6hr.2,A,5
Col.6hr.3,A,5
npr3.4.0.1,B,1
npr3.4.0.2,B,1
npr3.4.0.3,B,1
npr3.4.10m.1,B,2
npr3.4.10m.2,B,2
npr3.4.10m.3,B,2
npr3.4.1hr.1,B,4
npr3.4.1hr.2,B,4
npr3.4.1hr.3,B,4
npr3.4.24hr.1,B,6
npr3.4.24hr.2,B,6
npr3.4.24hr.3,B,6
npr3.4.30m.1,B,3
npr3.4.30m.2,B,3
npr3.4.30m.3,B,3
npr3.4.48hr.1,B,7
npr3.4.48hr.2,B,7
npr3.4.48hr.3,B,7
npr3.4.6hr.1,B,5
npr3.4.6hr.2,B,5
npr3.4.6hr.3,B,5
sid2.0.1,C,1
sid2.0.2,C,1
sid2.0.3,C,1
sid2.10m.1,C,2
sid2.10m.2,C,2
sid2.10m.3,C,2
sid2.1hr.1,C,4
sid2.1hr.2,C,4
sid2.1hr.3,C,4
sid2.24hr.1,C,6
sid2.24hr.2,C,6
sid2.24hr.3,C,6
sid2.30m.1,C,3
sid2.30m.2,C,3
sid2.30m.3,C,3
sid2.48hr.1,C,7
sid2.48hr.2,C,7
sid2.48hr.3,C,7
sid2.6hr.1,C,5
sid2.6hr.2,C,5
sid2.6hr.3,C,5
tga256.0.1,D,1
tga256.0.2,D,1
tga256.0.3,D,1
tga256.10m.1,D,2
tga256.10m.2,D,2
tga256.10m.3,D,2
tga256.1hr.1,D,4
tga256.1hr.2,D,4
tga256.1hr.3,D,4
tga256.24hr.1,D,6
tga256.24hr.2,D,6
tga256.24hr.3,D,6
tga256.30m.1,D,3
tga256.30m.2,D,3
tga256.30m.3,D,3
tga256.48hr.1,D,7
tga256.48hr.2,D,7
tga256.48hr.3,D,7
tga256.6hr.1,D,5
tga256.6hr.2,D,5
tga256.6hr.3,D,5
